SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
MON-03.1,MON-03.1_A02,generated audit records contain the following organization-defined additional information.,Technology,53A_R5_AU-03(01),,1,"session, connection, transaction, or activity duration; 

For client-server transactions, the number of bytes received and bytes sent; additional informational messages to diagnose or identify the event; characteristics that describe or identify the object or resource being acted upon; individual identities of group account users; full-text of privileged commands",,,x,,,,,,,,,,,
MON-03.2,MON-03.2_A01,the content of the audit records needed to support the ability to uniquely trace users to their actions is defined.,Process,"171A_3.3.2[a]
53A_R5_AU-02_ODP[01]
53A_R5_AU-02_ODP[02]
53A_R5_AU-02a.
53A_R5_AU-02c.[01]",,1,"successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events.

For Web applications: all administrator activity, authentication checks, authorization checks, data deletions, data access, data changes, and permission changes",,,x,x,,,,,,,,,,
MON-03.2,MON-03.2_A02,audit records are created (generated).,Technology,171A_3.3.1[c],,1,,,,,x,,,,,,,,,,
MON-03.2,MON-03.2_A03,"audit records contain information that establishes the identity of any individuals, subjects or objects/entities associated with the event.",Technology,53A_R5_AU-03f.,,1,,,,x,,,,,,,,,,,
MON-03.3,MON-03.3_A01,a full text analysis of logged privileged commands in a physically distinct component or subsystem of the system or other system that is dedicated to that analysis is performed.,Technology,53A_R5_AU-06(08),,1,,,,x,,,,,,,,,,,
MON-03.3,MON-03.3_A02,the execution of privileged functions is logged.,Technology,171A_R3_A.03.01.07.b,,1,,,,,,x,,,,,,,,,
MON-03.4,MON-03.4_A01,the level of verbosity for information to be included in audit records is defined.,Process,53A_R5_AU-03(01)_ODP,,1,,,,x,,,,,,,,,,,
MON-03.4,MON-03.4_A02,generated audit records contain the specified level of verbosity.,Technology,53A_R5_AU-03(01),,1,,,,x,,,,,,,,,,,
MON-03.5,MON-03.5_A01,elements identified in the privacy risk assessment are defined.,Process,53A_R5_AU-03(03)_ODP,,1,,,,x,,,,,,,,,,,
MON-03.5,MON-03.5_A02,Personal Data (PD) contained in audit records is limited to organization-defined elements identified in the privacy risk assessment.,Process,53A_R5_AU-03(03),,1,,,,x,,,,,,,,,,,
MON-03.6,MON-03.6_A01,cybersecurity / data privacy controls and related processes to be centrally managed are defined.,Process,53A_R5_PL-09_ODP,,1,,,,x,,,,,,,,,,,
MON-03.6,MON-03.6_A02,cybersecurity / data privacy controls and related processes are centrally managed.,Process,53A_R5_PL-09,,1,,,,x,,,,,,,,,,,
MON-03.7,MON-03.7_A01,the content of database audit records needed to support the ability to uniquely trace account actions is defined.,Process,"171A_3.3.2[a]
53A_R5_AU-02_ODP[01]
53A_R5_AU-02_ODP[02]
53A_R5_AU-02a.
53A_R5_AU-02c.[01]",,1,"successful and unsuccessful account logon events, account management events, object access, policy change, privilege functions, process tracking, and system events.",,,x,x,,,,,,,,,,
MON-03.7,MON-03.7_A02,"database audit records contain information that establishes the identity of any individuals, subjects or objects/entities associated with the event.",Technology,53A_R5_AU-03f.,,1,,,,x,,,,,,,,,,,
MON-04,MON-04_A01,event log retention requirements are defined.,Process,53A_R5_AU-04_ODP,,1,,,,x,,,,,,,,,,,
MON-04,MON-04_A02,event log storage capacity is allocated to accommodate organization-defined event log retention requirements.,Technology,53A_R5_AU-04,,1,,,,x,,,,,,,,,,,
MON-05,MON-05_A01,personnel or roles to be alerted in the event of an event logging process failure are identified.,Process,"171A_3.3.4[a]
53A_R5_AU-05_ODP[01]
53A_R5_AU-05a.",,1,,,,x,x,,,,,,,,,,
MON-05,MON-05_A02,types of event logging process failures for which alert will be generated are defined.,Process,171A_3.3.4[b],,1,,,,,x,,,,,,,,,,
MON-05,MON-05_A03,organization-defined additional actions are taken.,Process,"53A_R5_AU-05_ODP[03]
53A_R5_AU-05b.",,1,overwrite oldest record,,,x,,,,,,,,,,,
MON-05,MON-05_A04,organizational personnel or roles are alerted in the event of an audit logging process failure within an organization-defined time period.,Technology,171A_3.3.4[c],,1,,,,,x,,,,,,,,,,
MON-05,MON-05_A05,the time period for organizational personnel or roles receiving audit logging process failure alerts is defined.,Process,"53A_R5_AU-05_ODP[02]
171A_R3_A.03.03.04.ODP[01]",,1,,,,x,,x,,,,,,,,,
MON-05,MON-05_A06,additional actions to be taken in the event of an audit logging process failure are defined.,Process,171A_R3_A.03.03.04.ODP[02],,2,,,,,,x,,,,,,,,,
MON-05,MON-05_A07,organizational personnel or roles are alerted in the event of an audit logging process failure within <A.03.03.04.ODP[01]: time period>.,Process,171A_R3_A.03.03.04.a,US DoD ODP Value: near real time or as soon as practicable upon discovery,NIST 800-171,near real time or as soon as practicable upon discovery,,,,x,x,,,,,,,,,
MON-05,MON-05_A08,the following additional actions are taken: <A.03.03.04.ODP[02]: additional actions>.,Process,171A_R3_A.03.03.04.b,"US DoD ODP Value: document the failure and resolution, troubleshoot, repair/restart the audit logging process, and report as incident if applicable",NIST 800-171,"document the failure and resolution, troubleshoot, repair/restart the audit logging process, and report as incident if applicable",,,,,x,,,,,,,,,
MON-05.1,MON-05.1_A01,real-time period requiring alerts when event log failure events occur is defined.,Process,53A_R5_AU-05(02)_ODP[01],,1,,,,x,,,,,,,,,,,
MON-05.1,MON-05.1_A02,"personnel, roles, and/or locations to be alerted in real time when event log failure events occur is/are defined.",Process,"53A_R5_AU-05(02)_ODP[02]
53A_R5_SI-04(12)_ODP[01]",,1,,,,x,,,,,,,,,,,
MON-05.1,MON-05.1_A03,event logging failure events requiring real-time alerts are defined.,Process,"53A_R5_AU-05(02)_ODP[03]
53A_R5_SI-04(12)_ODP[03]",,1,,,,x,,,,,,,,,,,
MON-05.1,MON-05.1_A04,"an alert is provided within organization-defined real-time period to organization-defined personnel, roles, and/or locations when organization-defined event logging failure events requiring real-time alerts occur.",Technology,"53A_R5_AU-05(02)
53A_R5_SI-04(12)_ODP[02]
53A_R5_SI-04(12)",,1,,,,x,,,,,,,,,,,
MON-05.2,MON-05.2_A01,"personnel, roles, and/or locations to be warned when allocated event log storage volume reaches a percentage of repository maximum event log storage capacity is defined.",Process,53A_R5_AU-05(01)_ODP[01],,1,,,,x,,,,,,,,,,,
MON-05.2,MON-05.2_A02,"time period for defined personnel, roles, and/or locations to be warned when allocated event log storage volume reaches a percentage of repository maximum event log storage capacity is defined.",Process,53A_R5_AU-05(01)_ODP[02],,1,,,,x,,,,,,,,,,,
MON-05.2,MON-05.2_A03,percentage of repository maximum event log storage capacity is defined.,Process,53A_R5_AU-05(01)_ODP[03],,1,,,,x,,,,,,,,,,,
MON-05.2,MON-05.2_A04,a warning is provided per an organization-defined time period when allocated event log storage volume reaches organization-defined percentage of repository maximum event log storage capacity.,Technology,53A_R5_AU-05(01),,1,,,,x,,,,,,,,,,,
MON-06,MON-06_A01,system components that provide an audit record generation capability for the events types are defined.,Process,53A_R5_AU-12_ODP[01],,1,,,,x,,,,,,,,,,,
MON-06,MON-06_A02,audit records include organization-defined audit record content requirements.,Technology,53A_R5_AU-12c.,,1,,,,x,,,,,,,,,,,
MON-06,MON-06_A03,personnel or roles allowed to select the event types that are to be logged by specific components of the system is/are defined.,Process,53A_R5_AU-12_ODP[02],,1,,,,x,,,,,,,,,,,
MON-06,MON-06_A04,"an audit record reduction and report generation capability is implemented that supports on-demand audit record review, analysis and reporting requirements and after-the-fact investigations of incidents that does not alter the original content or time ordering of audit records.",Technology,"171A_3.3.6[b]
53A_R5_AU-07a.[02]
53A_R5_AU-07b.[02]
53A_R5_AU-07(01)[01]
53A_R5_AU-07(01)[02]
53A_R5_AU-12a.
53A_R5_AU-12b.",,1,,,,x,x,,,,,,,,,,
MON-06,MON-06_A05,"fields within audit records that can be processed, sorted or searched are defined.",Process,53A_R5_AU-07(01)_ODP,,3,,,,x,,,,,,,,,,,
MON-06,MON-06_A06,findings are reported to organizational personnel or roles.,Process,171A_R3_A.03.03.05.b,,2,,,,,,x,,,,,,,,,
MON-06,MON-06_A07,an audit record reduction and report generation capability that supports audit record review is implemented.,Technology,"171A_R3_A.03.03.06.a[01]
171A_3.3.6[a]
53A_R5_AU-07a.[01]
53A_R5_AU-07b.[01]",,2,,,,x,x,x,,,,,,,,,
MON-06,MON-06_A08,an audit record reduction and report generation capability that supports audit record analysis is implemented.,Technology,"171A_R3_A.03.03.06.a[02]
171A_3.3.6[a]
53A_R5_AU-07a.[01]
53A_R5_AU-07b.[01]",,2,,,,x,x,x,,,,,,,,,
MON-06,MON-06_A09,an audit record reduction and report generation capability that supports audit record reporting requirements is implemented.,Technology,"171A_R3_A.03.03.06.a[03]
171A_3.3.6[a]
53A_R5_AU-07a.[01]
53A_R5_AU-07b.[01]",,2,,,,x,x,x,,,,,,,,,
MON-06,MON-06_A10,an audit record reduction and report generation capability that supports after-the-fact investigations of incidents is implemented.,Technology,171A_R3_A.03.03.06.a[04],,2,,,,,,x,,,,,,,,,
MON-06.1,MON-06.1_A01,the capability to audit the parameters of user query events for data sets containing Personal Data (PD) is provided.,Technology,53A_R5_AU-12(04)[01],,1,,,,x,,,,,,,,,,,
MON-06.1,MON-06.1_A02,the capability to audit the parameters of user query events for data sets containing Personal Data (PD) is implemented.,Technology,53A_R5_AU-12(04)[02],,1,,,,x,,,,,,,,,,,
MON-06.2,MON-06.2_A01,trend analysis is employed to determine if control implementations used in the continuous monitoring process need to be modified based on empirical data.,Process,53A_R5_CA-07(03)[01],,1,,,,x,,,,,,,,,,,
MON-06.2,MON-06.2_A02,trend analysis is employed to determine if the frequency of continuous monitoring activities used in the continuous monitoring process needs to be modified based on empirical data.,Process,53A_R5_CA-07(03)[02],,1,,,,x,,,,,,,,,,,
MON-06.2,MON-06.2_A03,trend analysis is employed to determine if the types of activities used in the continuous monitoring process need to be modified based on empirical data.,Process,53A_R5_CA-07(03)[03],,1,,,,x,,,,,,,,,,,
MON-07,MON-07_A01,"timestamps are recorded for audit records that meet organization-defined granularity of time measurement and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time or include the local time offset as part of the timestamp.",Technology,"53A_R5_AU-08b.
171A_3.3.7[b]",,1,,,,x,x,,,,,,,,,,
MON-07,MON-07_A02,internal system clocks are used to generate time stamps for audit records.,Technology,"171A_3.3.7[a]
171A_R3_A.03.03.07.a",,1,,,,,x,x,,,,,,,,,
MON-07,MON-07_A03,granularity of time measurement for audit record time stamps is defined.,Process,171A_R3_A.03.03.07.ODP[01],,1,,,,,,x,,,,,,,,,
MON-07,MON-07_A04,time stamps are recorded for audit records that meet organization-defined granularity of time measurement.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
MON-07,MON-07_A05,time stamps are recorded for audit records that meet <A.03.03.07.ODP[01]: granularity of time measurement>.,Technology,171A_R3_A.03.03.07.b[01],US DoD ODP Value: a granularity of one (1) second or smaller,NIST 800-171,a granularity of one (1) second or smaller,,,,,x,,,,,,,,,
MON-07.1,MON-07.1_A01,an authoritative source with which to compare and synchronize internal system clocks is specified.,Technology,"171A_3.3.7[b]
53A_R5_SC-45(01)_ODP[02]",,1,,,,x,x,,,,,,,,,,
MON-07.1,MON-07.1_A02,internal system clocks used to generate time stamps for audit records are compared to and synchronized with the specified authoritative time source.,Technology,"171A_3.3.7[c]
53A_R5_SC-45(01)(a)
53A_R5_SC-45(01)_ODP[03]",,1,at least hourly,,,x,x,,,,,,,,,,
MON-07.1,MON-07.1_A03,system clocks are synchronized within and between systems and system components.,Technology,53A_R5_SC-45,,3,,,,x,,,,,,,,,,,
MON-07.1,MON-07.1_A04,the frequency at which to compare the internal system clocks with the authoritative time source is defined.,Process,53A_R5_SC-45(01)_ODP[01],,3,at least hourly,,,x,,,,,,,,,,,
MON-07.1,MON-07.1_A05,the internal system clocks are synchronized with the authoritative time source when the time difference is greater than an organization-defined time period.,Technology,53A_R5_SC-45(01)(b),,3,any difference,,,x,,,,,,,,,,,
MON-07.1,MON-07.1_A06,"time stamps are recorded for audit records that use Coordinated Universal Time (UTC), have a fixed local time offset from UTC, or include the local time offset as part of the time stamp.",Technology,171A_R3_A.03.03.07.b[02],,2,,,,,,x,,,,,,,,,
MON-08,MON-08_A01,audit records are retained for a time period consistent with the records retention policy.,Data,171A_R3_A.03.03.03.b,,1,,,,,,x,,,,,,,,,
MON-08,MON-08_A02,the original content of audit records is preserved.,Technology,171A_R3_A.03.03.06.b[01],,1,,,,,,x,,,,,,,,,
MON-08,MON-08_A03,the original time ordering of audit records is preserved.,Technology,171A_R3_A.03.03.06.b[02],,1,,,,,,x,,,,,,,,,
MON-08,MON-08_A04,"audit information is protected from unauthorized access, modification, and deletion.",Technology,"171A_R3_A.03.03.08.a[01]
171A_3.3.8[d]
171A_3.3.8[e]
171A_3.3.8[f]
53A_R5_AU-09a.",,1,,,,x,x,x,,,,,,,,,
MON-08,MON-08_A05,access to management of audit logging functionality is authorized to only a subset of privileged users or roles.,Technology,171A_R3_A.03.03.08.b,,2,,,,,,x,,,,,,,,,
MON-08,MON-08_A06,"personnel or roles to be alerted upon detection of unauthorized access, modification or deletion of audit information is/are defined.",Process,53A_R5_AU-09_ODP,,3,,,,x,,,,,,,,,,,
MON-08,MON-08_A07,"organization-defined personnel or roles are alerted upon detection of unauthorized access, modification or deletion of audit information.",Technology,53A_R5_AU-09b.,,3,,,,x,,,,,,,,,,,
MON-08.1,MON-08.1_A01,"the frequency of event logs transferred to a different system, system component or media other than the system or system component conducting the logging is defined.",Process,"53A_R5_AU-04(01)_ODP
53A_R5_AU-09(02)_ODP",,1,,,,x,,,,,,,,,,,
MON-08.1,MON-08.1_A02,"event logs are transferred per an organization-defined frequency to a different system, system component or media other than the system or system component conducting the logging.",Process,53A_R5_AU-04(01),,1,,,,x,,,,,,,,,,,
MON-08.1,MON-08.1_A03,audit records are stored per an organization-defined frequency in a repository that is part of a physically different system or system component than the system or component being audited.,Process,53A_R5_AU-09(02),,1,,,,x,,,,,,,,,,,
MON-08.2,MON-08.2_A01,a subset of privileged users or roles authorized to access management of event logging functionality is defined.,Process,"171A_3.3.9[a]
53A_R5_AU-09(04)_ODP",,1,,,,x,x,,,,,,,,,,
MON-08.2,MON-08.2_A02,access to management of audit logging functionality is authorized to only a subset of privileged users or roles.,Technology,"171A_3.3.9[b]
171A_R3_A.03.03.08.b
53A_R5_AU-09(04)",,1,,,,x,x,x,,,,,,,,,
MON-08.3,MON-08.3_A01,cryptographic mechanisms to protect the integrity of audit information and audit tools are implemented.,Technology,53A_R5_AU-09(03),,1,,,,x,,,,,,,,,,,
MON-08.4,MON-08.4_A01,critical or sensitive system and organizational operations for which dual authorization is to be enforced are identified.,Process,"172A_3.1.1e[a]
53A_R5_CM-05(04)_ODP[01]
53A_R5_AU-09(05)_ODP[01]
53A_R5_AU-09(05)_ODP[02]",,1,,,,x,,,x,,,,,,,,
MON-08.4,MON-08.4_A02,dual authorization is employed to execute critical or sensitive system and organizational operations.,Technology,"172A_3.1.1e[b]
53A_R5_AU-09(05)
53A_R5_CM-05(04)[01]
53A_R5_CM-05(04)[02]",,1,,,,x,,,x,,,,,,,,
MON-09,MON-09_A01,actions to be covered by non-repudiation are defined.,Process,53A_R5_AU-10_ODP,,1,,,,x,,,,,,,,,,,
MON-09,MON-09_A02,irrefutable evidence is provided that an individual (or process acting on behalf of an individual) has performed organization-defined actions.,Technology,53A_R5_AU-10,,1,,,,x,,,,,,,,,,,
MON-09.1,MON-09.1_A01,the strength of binding between the identity of the information producer and the information is defined.,Process,53A_R5_AU-10(01)_ODP,,1,,,,x,,,,,,,,,,,
MON-09.1,MON-09.1_A02,the identity of the information producer is bound with the information to organization-defined strength of binding.,Technology,53A_R5_AU-10(01)(a),,1,,,,x,,,,,,,,,,,
MON-09.1,MON-09.1_A03,the means for authorized individuals to determine the identity of the producer of the information is provided.,Technology,53A_R5_AU-10(01)(b),,1,,,,x,,,,,,,,,,,
MON-09.1,MON-09.1_A04,the frequency at which to validate the binding of the information producer identity to the information is defined.,Process,53A_R5_AU-10(02)_ODP[01],,3,,,,x,,,,,,,,,,,
MON-09.1,MON-09.1_A05,the actions to be performed in the event of a validation error are defined.,Process,53A_R5_AU-10(02)_ODP[02],,3,,,,x,,,,,,,,,,,
MON-09.1,MON-09.1_A06,the binding of the information producer identity to the information is validated at organization-defined frequency.,Process,53A_R5_AU-10(02)(a),,3,,,,x,,,,,,,,,,,
MON-09.1,MON-09.1_A07,organization-defined actions in the event of a validation error are performed.,Technology,53A_R5_AU-10(02)(b),,3,,,,x,,,,,,,,,,,
MON-10,MON-10_A01,a time period to retain audit records that is consistent with the records retention policy is defined.,Process,"171A_3.3.1[e]
53A_R5_AU-11_ODP",,1,,,,x,x,,,,,,,,,,
MON-10,MON-10_A02,audit records are retained for a time period consistent with the records retention policy.,Data,"171A_3.3.1[f]
171A_R3_A.03.03.03.b
53A_R5_AU-11",,1,,,,x,x,x,,,,,,,,,
MON-11,MON-11_A01,open-source information and/or information sites to be monitored for evidence of unauthorized disclosure of organizational information is/are defined.,Process,53A_R5_AU-13_ODP[01],,1,,,,x,,,,,,,,,,,
